Nazwa_Cwiczenia,Partia_Glowna,Partia_Pomocnicza,Typ ćwiczenia,Typ_Ruchu,Sprzet,Trudnosc,Krótki opis techniki
Wyciskanie sztangi na ławce poziomej,Klatka piersiowa (całość),"Triceps, Naramienny (przód)",Wielostawowe,Wyciskanie,Sztanga,Średni,"Opuszczanie sztangi do mostka, dynamiczne wyciskanie. Łopatki ściągnięte."
Wyciskanie hantli na skosie dodatnim,Klatka piersiowa (góra),"Naramienny (przód), Triceps",Wielostawowe,Wyciskanie,Hantle,Średni,Wyciskanie na ławce 30-45°. Większy zakres ruchu niż sztanga.
Pompki na poręczach (Dipsy),Klatka piersiowa (dół),"Triceps, Naramienny",Wielostawowe,Wypychanie,Poręcze,Wysoki,Opuszczanie tułowia na poręczach z pochyleniem ciała do przodu.
Rozpiętki z hantlami na ławce poziomej,Klatka piersiowa (izolacja),Naramienny (przód),Izolowane,Rozpiętki,Hantle,Średni,Ruch po łuku (obejmowanie drzewa). Stały kąt ugięcia łokci.
Wyciskanie na maszynie typu Hammer,Klatka piersiowa,-,Wielostawowe,Wyciskanie,Maszyna,Niski,Wyciskanie siedząc na maszynie. Bezpieczna praca z dużym ciężarem.
Krzyżowanie linek wyciągu górnego (Brama),Klatka piersiowa (środek),-,Izolowane,Ściąganie,Wyciąg,Średni,Ściąganie rączek wyciągu przed siebie stojąc. Stałe napięcie mięśnia.
Wyciskanie sztangi na skosie ujemnym,Klatka piersiowa (dół),Triceps,Wielostawowe,Wyciskanie,Sztanga,Średni,"Wyciskanie głową w dół. Mniejsza praca barków, silny angaż dołu."
Pompki klasyczne,Klatka piersiowa,"Triceps, Core",Wielostawowe,Pompka,Masa własna,Niski,"Podpor przodem, ciało proste. Zginanie ramion, klatka nad ziemię."
Przenoszenie hantla za głowę (Pullover),Klatka piersiowa,"Najszerszy grzbietu, Zębaty",Izolowane,Przenoszenie,Hantle,Średni,"Opuszczanie hantla za głowę na lekko ugiętych, zablokowanych ramionach."
Maszyna typu Butterfly (Rozpiętki),Klatka piersiowa (środek),-,Izolowane,Przywodzenie,Maszyna,Niski,Przywodzenie ramion do środka siedząc. Czysta izolacja klatki.
Wyciskanie hantli chwytem młotkowym,Klatka piersiowa (środek),Triceps,Wielostawowe,Wyciskanie,Hantle,Średni,"Hantle złączone, wyciskanie wąsko, stały docisk hantli do siebie."
Landmine Press (Wyciskanie półsztangi),Klatka piersiowa (góra),Naramienny,Wielostawowe,Wypychanie,Sztanga,Średni,Wypychanie końca sztangi jednorącz/oburącz stojąc. Ruch po skosie.
Pompki z nogami na podwyższeniu,Klatka piersiowa (góra),Naramienny,Wielostawowe,Pompka,Podwyższenie,Średni,Stopy wyżej niż dłonie. Przenosi ciężar ciała na górę klatki.
Svend Press,Klatka piersiowa,-,Wielostawowe,Ściskanie,Talerz,Niski,Ściskanie talerza dłońmi i wypychanie go w przód (ruch wyciskania).
Gilotynowe wyciskanie sztangi,Klatka piersiowa (góra),-,Wielostawowe,Wyciskanie,Sztanga,Wysoki,Opuszczanie sztangi do szyi szerokim chwytem. Mocne rozciągnięcie.
Wyciskanie żołnierskie (OHP),Naramienny (przód/bok),"Triceps, Zębaty przedni",Wielostawowe,Wyciskanie,Sztanga,Średni,Wyciskanie sztangi nad głowę stojąc. Brzuch i pośladki mocno napięte.
Wyciskanie hantli siedząc,Naramienny (przód/bok),Triceps,Wielostawowe,Wyciskanie,Hantle,Niski,Wyciskanie hantli nad głowę na ławce z oparciem (kąt 90°). Plecy proste.
Wznosy hantli bokiem,Naramienny (bok),Czworoboczny (kaptur),Izolowane,Unoszenie,Hantle,Niski,Unoszenie hantli na boki do wysokości barków. Łokcie lekko ugięte.
Arnoldki (Wyciskanie Arnolda),Naramienny (całość),Triceps,Wielostawowe,Wyciskanie z rotacją,Hantle,Średni,"Wyciskanie z rotacją nadgarstków (start podchwytem, koniec nachwytem)."
Face Pull (Przyciąganie do twarzy),Naramienny (tył),"Stożek rotatorów, Czworoboczny",Wielostawowe,Przyciąganie,Wyciąg,Niski,Przyciąganie liny wyciągu w kierunku czoła. Łokcie szeroko na zewnątrz.
Wznosy hantli w opadzie tułowia,Naramienny (tył),"Czworoboczny, Rombowate",Izolowane,Unoszenie,Hantle,Średni,"Unoszenie hantli na boki w głębokim pochyleniu. Ruch jak ""odwrotne skrzydła""."
Podciąganie sztangi wzdłuż tułowia,Naramienny (bok),"Czworoboczny, Biceps",Wielostawowe,Podciąganie,Sztanga,Średni,Unoszenie sztangi blisko ciała do mostka. Chwyt szerszy niż barki.
Wznosy hantli w przód,Naramienny (przód),Klatka piersiowa (góra),Izolowane,Unoszenie,Hantle,Niski,Naprzemienne unoszenie hantli przed siebie do wysokości oczu.
Odwrotne rozpiętki na maszynie,Naramienny (tył),"Czworoboczny, Rombowate",Izolowane,Odwodzenie,Maszyna,Niski,Odwodzenie ramion w tył siedząc klatką do oparcia maszyny (Reverse Fly).
Wznosy linki wyciągu bokiem jednorącz,Naramienny (bok),Czworoboczny (kaptur),Izolowane,Unoszenie,Wyciąg,Średni,Unoszenie linki wyciągu dolnego bokiem. Stałe napięcie mięśnia.
Wyciskanie sztangi zza karku,Naramienny (bok/przód),Triceps,Wielostawowe,Wyciskanie,Sztanga,Wysoki,Opuszczanie sztangi za głowę do linii uszu. Wymaga dużej mobilności.
Pompki typu Pike (Szczupak),Naramienny (przód),"Triceps, Zębaty przedni",Wielostawowe,Wypychanie,Masa własna,Średni,Pompki z biodrami uniesionymi wysoko w górę (ciało w kształcie litery V).
Y-Raise na ławce skośnej,Naramienny (bok/tył),Czworoboczny (dolny),Izolowane,Unoszenie,Hantle,Średni,"Leżąc przodem na skosie, unoszenie rąk w górę w kształt litery Y."
Wyciskanie hantla jednorącz stojąc,Naramienny (całość),"Triceps, Mięśnie brzucha (core)",Wielostawowe,Wyciskanie,Hantle,Średni,Wyciskanie jedną ręką. Druga ręka stabilizuje tułów (praca core).
Unoszenie talerza w przód (Bus Driver),Naramienny (przód),Mięśnie głębokie,Izolowane,Unoszenie/Rotacja,Talerz,Niski,Trzymanie talerza oburącz przed sobą i skręcanie nim (jak kierownicą).
Martwy ciąg klasyczny,"Prostowniki grzbietu, Całe plecy","Pośladkowy, Dwugłowy uda, Przedramię",Wielostawowe,Hip Hinge (Zawias biodrowy),Sztanga,Wysoki,"Neutralny kręgosłup, sztanga prowadzona po nogach, ruch inicjowany z biodra, napięcie brzucha."
Podciąganie na drążku nachwytem,Najszerszy grzbietu (szerokość),"Biceps, Naramienny (tył), Obły",Wielostawowe,Ciągnięcie pionowe,Drążek,Wysoki,"Pełny zwis, depresja łopatek przed ruchem, łokcie prowadzone do bioder, brak bujania."
Wiosłowanie sztangą w opadzie,"Najszerszy grzbietu (grubość), Czworoboczny","Biceps, Prostowniki grzbietu, Naramienny (tył)",Wielostawowe,Ciągnięcie poziome,Sztanga,Wysoki,"Tułów pod kątem 45-90°, plecy proste, przyciąganie sztangi do dolnej części brzucha."
Wiosłowanie hantlem jednorącz,Najszerszy grzbietu,"Biceps, Naramienny (tył)",Wielostawowe,Ciągnięcie poziome,Hantle,Średni,"Podparcie na ławce, tułów równolegle do podłogi, ruch hantla po łuku w stronę biodra."
Ściąganie drążka wyciągu górnego do klatki,Najszerszy grzbietu,"Biceps, Obły większy",Wielostawowe,Ciągnięcie pionowe,Wyciąg,Średni,"Tułów lekko odchylony, ściągnięcie łopatek w dół, drążek do górnej części klatki, łokcie pod nadgarstkami."
Przyciąganie linki wyciągu dolnego siedząc,"Czworoboczny (środek), Najszerszy","Biceps, Naramienny (tył)",Wielostawowe,Ciągnięcie poziome,Wyciąg,Średni,"Klatka wypięta, brak nadmiernego odchylania tułowia, mocna retrakcja łopatek w końcowej fazie."
Wiosłowanie półsztangą T-Bar,Najszerszy grzbietu (środek/grubość),"Biceps, Czworoboczny, Prostowniki",Wielostawowe,Ciągnięcie poziome,Maszyna/Sztanga,Średni,"Stabilna pozycja nóg, plecy proste, przyciąganie ciężaru do klatki/brzucha, unikanie pędu."
Narciarz / Ściąganie linek na prostych rękach,Najszerszy grzbietu (izolacja),"Triceps (głowa długa), Obły",Izolowane,Wyprost w stawie ramiennym,Wyciąg,Średni,"Pochylenie tułowia, łokcie minimalnie ugięte i zablokowane, ruch samym stawem barkowym do bioder."
Wiosłowanie Pendlay,"Najszerszy grzbietu, Czworoboczny","Prostowniki, Biceps",Wielostawowe,Ciągnięcie poziome,Sztanga,Wysoki,"Tułów równolegle do podłogi, każdy ruch startuje z ""martwego punktu"" na ziemi, eksplozywna faza koncentryczna."
Wiosłowanie na maszynie z podparciem klatki,Najszerszy grzbietu lub Czworoboczny (zależnie od chwytu),"Biceps, Naramienny (tył)",Wielostawowe,Ciągnięcie poziome,Maszyna,Niski,"Klatka mocno przywarta do oparcia, pełne rozciągnięcie mięśni, spięcie łopatek bez ruchu tułowiem."
Przyciąganie linki do twarzy,"Naramienny (tył), Stożek rotatorów",Czworoboczny (góra/środek),Izolowane,Rotacja zewnętrzna/Przyciąganie,Wyciąg,Niski,"Linka na wysokości oczu, łokcie wysoko, dłonie ciągną poza uszy, focus na retrakcji i rotacji barku."
Szrugsy ze sztangą,Czworoboczny (część zstępująca/góra),Dźwigacz łopatki,Izolowane,Elewacja łopatek,Sztanga,Niski,"Ramiona proste, ruch wyłącznie góra-dół barkami, bez kręcenia kółek, przytrzymanie spięcia na górze."
Wiosłowanie jednorącz półsztangą,"Najszerszy grzbietu, Obły","Biceps, Przedramię",Wielostawowe,Ciągnięcie poziome,Sztanga (Landmine),Wysoki,"Chwyt za gruby koniec sztangi, biodro wyżej niż bark, łokieć prowadzony szeroko dla maksymalnego rozciągnięcia."
Wyprosty tułowia na ławce rzymskiej,Prostowniki grzbietu,"Pośladkowy, Dwugłowy uda",Akcesoryjne,Wyprost tułowia,Ławka rzymska,Średni,"Jeśli cel to plecy: prostowanie do linii ciała, bez przeprostu. Jeśli pośladki: zaokrąglone plecy."
Ściąganie drążka podchwytem,Najszerszy grzbietu (dolna część),Biceps (mocne zaangażowanie),Wielostawowe,Ciągnięcie pionowe,Wyciąg,Średni,"Chwyt na szerokość barków, łokcie prowadzone blisko ciała, skupienie na dopięciu dołu najszerszego."
Przysiady ze sztangą na plecach,"Czworogłowy uda, Pośladkowy","Prostowniki grzbietu, Przywodziciele",Wielostawowe,Przysiad (Knee Dominant),Sztanga,Wysoki,"Sztanga na czworobocznym, stopy stabilnie, kolana w linii palców, biodra schodzą poniżej kolan."
Przysiady ze sztangą z przodu,Czworogłowy uda,"Pośladkowy, Prostowniki grzbietu (góra)",Wielostawowe,Przysiad (Knee Dominant),Sztanga,Wysoki,"Sztanga na przedniej części barków, tułów pionowo, głęboki siad, mocna praca brzucha."
Rumuński martwy ciąg,"Dwugłowy uda, Pośladkowy","Prostowniki grzbietu, Przedramię",Wielostawowe,Hip Hinge (Zawias biodrowy),Sztanga,Średni,"Nogi minimalnie ugięte, ruch tylko w biodrze (wypychanie w tył), sztanga blisko nóg, plecy proste."
Wypychanie ciężaru na suwnicy,Czworogłowy uda,"Pośladkowy, Przywodziciele",Wielostawowe,Wypychanie (Knee Dominant),Maszyna,Średni,"Plecy i biodra przyklejone, stopy na środku platformy, nie blokujemy kolan w pełnym wyproście."
Przysiady bułgarskie,"Czworogłowy uda, Pośladkowy","Dwugłowy uda, Łydki",Wielostawowe,Przysiad jednonóż,Hantle/Sztanga,Wysoki,"Jedna noga z tyłu na podwyższeniu, tułów lekko pochylony, kolano nogi wykrocznej nie ucieka do środka."
Wykroki chodzone z hantlami,"Czworogłowy uda, Pośladkowy","Dwugłowy uda, Łydki",Wielostawowe,Wykrok,Hantle,Średni,"Długi krok, tułów pionowo, kolano tylnej nogi dotyka lekko podłogi, dynamiczne wstanie."
Wznosy bioder ze sztangą,Pośladkowy wielki,"Dwugłowy uda, Czworogłowy",Wielostawowe,Wyprost biodra (Bridge),"Sztanga, Ławka",Średni,"Oparcie łopatek o ławkę, sztanga na biodrach, mocne spięcie pośladków w górze, broda do klatki."
Przysiady z hantlem (kielichowe),Czworogłowy uda,"Pośladkowy, Prostowniki grzbietu",Wielostawowe,Przysiad (Knee Dominant),Hantel/Kettlebell,Niski,"Hantel trzymany przy mostku, łokcie wąsko, głęboki siad, idealne do nauki wzorca przysiadu."
Uginanie nóg na maszynie leżąc,Dwugłowy uda,"Półścięgnisty, Półbłoniasty",Izolowane,Zgięcie kolana,Maszyna,Niski,"Biodra przyklejone do ławki, ruch pełny do pośladka, powolna faza opuszczania (ekscentryczna)."
Wyprosty nóg na maszynie siedząc,Czworogłowy uda,Brak,Izolowane,Wyprost kolana,Maszyna,Niski,"Plecy oparte, ruch do pełnego wyprostu, przytrzymanie napięcia w górze, palce stóp na siebie."
Dzień dobry ze sztangą,"Dwugłowy uda, Prostowniki grzbietu",Pośladkowy,Wielostawowe,Hip Hinge (Zawias biodrowy),Sztanga,Wysoki,"Sztanga jak do przysiadu, ruch wypychania bioder w tył przy prostych plecach, tułów prawie równolegle do ziemi."
Żuraw (Opad tułowia klęcząc),Dwugłowy uda,"Pośladkowy, Łydki",Wielostawowe,Zgięcie kolana (Ekscentryka),Masa ciała/Drabinka,Bardzo Wysoki,"Klęk, pięty zablokowane, powolne opuszczanie tułowia do ziemi samą siłą nóg. Król prewencji kontuzji."
Przysiady na maszynie Hack,Czworogłowy uda (zewnętrzna część),Pośladkowy,Wielostawowe,Przysiad (Knee Dominant),Maszyna,Średni,"Plecy oparte o oparcie, stopy nieco wysunięte w przód, głęboki ruch, stabilizacja tułowia."
Wspięcia na palce stojąc,Trójgłowy łydki (brzusiec),-,Izolowane,Zgięcie podeszwowe,Maszyna/Sztanga,Niski,"Kolana proste, pełne rozciągnięcie pięty w dół, mocne spięcie na palcach w górze."
Wspięcia na palce siedząc,Mięsień płaszczkowaty łydki,-,Izolowane,Zgięcie podeszwowe,Maszyna,Niski,"Kolana ugięte pod kątem 90 stopni (wyłącza brzuchaty łydki), praca samym stawem skokowym."
Uginanie ramion ze sztangą stojąc,Biceps (obie głowy),"Przedramię, Naramienny (przód)",Wielostawowe (częściowo),Zgięcie łokcia,Sztanga,Średni,"Łokcie przy żebrach, brak bujania tułowiem, pełny wyprost, dopięcie u góry. Król masy."
Uginanie ramion z hantlami z supinacją,Biceps (funkcja odwracania),"Ramienny, Przedramię",Izolowane,Zgięcie + Rotacja,Hantle,Średni,"Start chwytem młotkowym, w trakcie ruchu rotacja nadgarstka na zewnątrz (mały palec do góry)."
Uginanie młotkowe z hantlami,"Ramienny, Ramienno-promieniowy",Biceps (głowa długa),Izolowane,Zgięcie łokcia,Hantle,Niski,"Chwyt neutralny (kciuk w górę), łokieć nieruchomo, celuje w szerokość ramienia z boku."
Uginanie na modlitewniku (Sztanga/Maszyna),Biceps (głowa krótka),Ramienny,Izolowane,Zgięcie łokcia,Modlitewnik,Średni,"Pacha mocno wparta w oparcie, ramię z przodu ciała, pełny wyprost (ostrożnie z ciężarem)."
Uginanie hantlami na ławce skośnej,Biceps (głowa długa - rozciągnięcie),Przedramię,Izolowane,Zgięcie łokcia,Ławka/Hantle,Wysoki,"Ławka 45-60 stopni, ramiona zwisają za tułowiem, maksymalne rozciągnięcie mięśnia na dole."
Uginanie pająkowe na ławce skośnej,Biceps (głowa krótka - szczyt),Ramienny,Izolowane,Zgięcie łokcia,Ławka/Sztanga,Średni,"Leżenie przodem na ławce skośnej, ramiona pionowo w dół, izolacja totalna (brak pomocy tułowia)."
Uginanie ze sztangą nachwytem,Ramienno-promieniowy (przedramię),"Ramienny, Biceps",Izolowane,Zgięcie łokcia,Sztanga,Średni,"Dłonie z góry, łokcie przy ciele, mniejszy ciężar, palący ból przedramion."
Uginanie koncentryczne z hantlem,Biceps (szczyt/wierzchołek),Ramienny,Izolowane,Zgięcie łokcia,Hantel,Niski,"Siedząc, łokieć oparty o wewnętrzną stronę uda, pełna kontrola, brak pomocy barkiem."
Uginanie ramion na wyciągu dolnym stojąc,Biceps (stałe napięcie),Przedramię,Izolowane,Zgięcie łokcia,Wyciąg,Niski,"Stały opór w całym zakresie ruchu, łokcie stabilnie, dobre na koniec treningu (pompa)."
Uginanie ramion na bramie (linki górne),Biceps (głowa krótka),Przedramię,Izolowane,Zgięcie łokcia,Wyciąg (Brama),Średni,"Pozycja ""Herkulesa"", ramiona odwiedzione, zginanie pięści w stronę uszu, mocne dopięcie."
Wyciskanie sztangi wąskim chwytem,Triceps (wszystkie głowy),"Klatka, Naramienny (przód)",Wielostawowe,Wypychanie,Sztanga,Wysoki,"Chwyt na szerokość barków, łokcie prowadzone blisko tułowia, opuszczanie do mostka. Buduje siłę."
Pompki na poręczach (Dipy),"Triceps, Klatka (dół)",Naramienny (przód),Wielostawowe,Wypychanie,Poręcze,Wysoki,"Tułów pionowo (dla tricepsa), łokcie wąsko przy ciele, nie schodzimy poniżej komfortu barków."
Wyciskanie francuskie sztangą leżąc,Triceps (głowa długa i przyśrodkowa),Naramienny,Izolowane,Wyprost łokcia,Sztanga łamana,Wysoki,"Sztanga opuszczana do czoła lub za głowę (większe rozciągnięcie), łokcie celują w sufit."
Prostowanie ramion z linką wyciągu górnego,Triceps (głowa boczna),Anconeus (Łokciowy),Izolowane,Wyprost łokcia,Wyciąg,Niski,"Tułów lekko pochylony, łokcie przyklejone do żeber, na dole rozchylenie linki na zewnątrz."
Wyciskanie francuskie hantlem oburącz siedząc,Triceps (głowa długa - rozciągnięcie),"Naramienny, Brzuch (stabilizacja)",Izolowane,Wyprost łokcia,Hantel,Średni,"Hantel za głową, łokcie blisko uszu (nie rozchodzą się na boki), pełne rozciągnięcie na dole."
Wyciskanie JM (JM Press),Triceps (głowa boczna/przyśrodkowa),Naramienny,Hybrydowe,Wypychanie/Wyprost,Sztanga,Bardzo Wysoki,Połączenie wyciskania wąsko i francuskiego. Opuszczanie sztangi w kierunku szyi/brody.
Prostowanie ramienia jednorącz podchwytem,Triceps (głowa przyśrodkowa),Przedramię,Izolowane,Wyprost łokcia,Wyciąg,Średni,"Chwyt odwrotny (dłoń do góry), izoluje często pomijaną głowę przyśrodkową (przy łokciu)."
Wyprosty ramienia z hantlem w opadzie,Triceps (maksymalne spięcie),Naramienny (tył),Izolowane,Wyprost łokcia,Hantel,Średni,"Tułów poziomo, ramię równolegle do podłogi, ruch tylko przedramieniem, pauza na wyproście."
Prostowanie ramion z linką wyciągu zza głowy,Triceps (głowa długa),Brzuch,Izolowane,Wyprost łokcia,Wyciąg,Średni,"Ustawienie tyłem do wyciągu, linka nad głową, łokcie stabilne, ruch w przód. Stałe napięcie."
Pompki odwrotne w oparciu o ławkę,Triceps,Naramienny (przód),Wielostawowe,Wypychanie,Ławka,Niski,"Dłonie na krawędzi ławki, plecy blisko krawędzi, łokcie wąsko. Uwaga na barki przy schodzeniu nisko."
Wyjazdy z kółkiem (Ab Wheel),Prosty brzucha (całość),"Najszerszy grzbietu, Triceps",Wielostawowe,Anty-wyprost (Anti-Extension),Kółko/Sztanga,Bardzo Wysoki,"Ruch inicjowany z biodra, plecy zaokrąglone (""koci grzbiet""), pośladki mocno spięte, brak załamania w lędźwiach."
Wznosy nóg w zwisie na drążku,Prosty brzucha (część dolna),"Zginacze bioder, Przedramię",Wielostawowe,Zgięcie biodra i kręgosłupa,Drążek,Wysoki,"Podwijanie miednicy (""ogon pod siebie""), kolana do klatki piersiowej, unikanie bujania tułowiem, wolny powrót."
Allahy (Skłony tułowia na wyciągu klęcząc),Prosty brzucha (część górna),Zębate przednie,Izolowane,Zgięcie kręgosłupa,Wyciąg górny,Średni,"Biodra nieruchomo nad kolanami, ""zwijanie"" kręgosłupa w łuk (głowa do kolan), wydech przy spięciu."
Pallof Press (Wypychanie linki przed klatkę),"Skośne brzucha, Poprzeczny",Obręcz barkowa,Stabilizacyjne,Anty-rotacja (Anti-Rotation),Wyciąg/Guma,Średni,"Stojąc bokiem do wyciągu, wypchnięcie rąk przed mostek i utrzymanie ich nieruchomo. Walka z siłą skręcającą tułów."
Spacer z walizką (Suitcase Carry),"Czworoboczny lędźwi, Skośne","Przedramię, Czworoboczny",Funkcjonalne,Anty-zgięcie boczne,Hantel/Kettlebell,Średni,"Chód z ciężarem w jednej ręce. Tułów idealnie prosto (nie przechylamy się na bok), barki w jednej linii."
Martwy Robak (Dead Bug),Poprzeczny brzucha (gorset),Zginacze bioder,Stabilizacyjne,Dysocjacja kończyn,Mata (Masa ciała),Niski/Średni,"Leżenie tyłem, odcinek lędźwiowy wbity w matę (brak prześwitu!). Naprzemienne opuszczanie ręki i nogi bez odrywania pleców."